ObjShowTime,ReactionTime,StimType,Guess,Correct
86620,86940,1,1,1
88243,88678,1,1,1
89450,89755,1,1,1
90835,91109,1,1,1
91727,92028,1,1,1
92730,92975,1,1,1
94402,94649,1,1,1
95855,96083,1,1,1
97075,97308,1,1,1
97955,98231,1,1,1
99569,99826,1,1,1
101045,101282,1,1,1
102651,102898,1,1,1
104025,104272,1,1,1
105162,105390,1,1,1
106870,107117,1,1,1
108437,108648,1,1,1
110113,110369,1,1,1
111558,111810,1,1,1
113101,113154,1,1,1
113732,114042,1,1,1
115451,115697,1,1,1
116447,116709,1,1,1
118203,118443,1,1,1
119482,119700,1,1,1
120803,121025,1,1,1
122132,122388,1,1,1
123206,123417,1,1,1
124259,124522,1,1,1
125786,125995,1,1,1
127020,127253,1,1,1
128644,128927,1,1,1
129571,129845,1,1,1
130459,130764,1,1,1
132128,132455,1,1,1
133438,133668,1,1,1
6104,6490,1,1,1
7242,7485,1,1,1
8258,8472,1,1,1
9319,9526,1,1,1
10947,11148,1,1,1
12636,12901,1,1,1
13501,13758,1,1,1
14412,14664,1,1,1
15408,15628,1,1,1
16916,17183,1,1,1
18015,18244,1,1,1
18900,19144,1,1,1
19817,20039,1,1,1
21524,21726,1,1,1
22639,22871,1,1,1
23415,23704,1,1,1
25019,25224,1,1,1
26657,26835,1,1,1
27757,28038,1,1,1
29524,29867,1,1,1
31264,31500,1,1,1
32585,32803,1,1,1
34040,34260,1,1,1
35610,35825,1,1,1
37010,37209,1,1,1
37896,38139,1,1,1
39624,39866,1,1,1
40827,41057,1,1,1
41620,41930,1,1,1
43151,43396,1,1,1
44382,44583,1,1,1
45247,45527,1,1,1
46291,46515,1,1,1
47515,47731,1,1,1
48974,49184,1,1,1
50099,50327,1,1,1
51822,52037,1,1,1
53277,53626,1,1,1
55077,55248,1,1,1
56404,56607,1,1,1
57857,58051,1,1,1
59516,59718,1,1,1
61031,61258,1,1,1
62432,62676,1,1,1
63712,63918,1,1,1
64903,65126,1,1,1
66086,66312,1,1,1
67270,67505,1,1,1
68512,68734,1,1,1
70133,70344,1,1,1
71788,72003,1,1,1
72607,72894,1,1,1
73469,73717,1,1,1
75137,75345,1,1,1
76680,76870,1,1,1
77457,77743,1,1,1
78285,78682,1,1,1
79423,79689,1,1,1
80537,80756,1,1,1
81977,82211,1,1,1
82789,83151,1,1,1
83773,84098,1,1,1
84834,85041,1,1,1
86386,86593,1,1,1
87884,100983,1,1,1
102279,102535,1,1,1
103944,104219,1,1,1
105104,105419,1,1,1
106065,106323,1,1,1
106892,107197,1,1,1
108139,108438,1,1,1
109329,109572,1,1,1
110811,111039,1,1,1
112212,112430,1,1,1
113382,113602,1,1,1
114632,114841,1,1,1
116098,116321,1,1,1
117755,117999,1,1,1
119224,119450,1,1,1
120927,121142,1,1,1
121772,122146,1,1,1
123049,123269,1,1,1
124554,124764,1,1,1
125884,126102,1,1,1
126928,127196,1,1,1
128444,128652,1,1,1
130145,130343,1,1,1
131733,131943,1,1,1
132876,133158,1,1,1
133807,134130,1,1,1
135098,135342,1,1,1
136513,136706,1,1,1
137806,138180,1,1,1
139358,139612,1,1,1
